0,I1,I2,I3,I4,I5,pitch,yaw,roll,I9
7.039487,0.215385,7.297948,-5167.000000,-5163.000000,-5142.000000,0.726128,-0.251096,0.001373,7.039487
6.480384,-0.430769,7.549231,-5167.000000,-5155.000000,-5159.000000,0.726120,-0.251155,0.001465,6.480384
6.078333,-0.297949,8.332692,-5142.000000,-5140.000000,-5165.000000,0.726162,-0.251156,0.001471,6.078333
6.394231,-0.090641,6.667051,-5144.000000,-5144.000000,-5155.000000,0.726355,-0.251144,0.001494,6.394231
6.024487,-0.288077,7.972820,-5134.000000,-5119.000000,-5157.000000,0.726283,-0.251161,0.001525,6.024487
7.087949,-0.424487,7.221666,-5138.000000,-5123.000000,-5153.000000,0.726323,-0.251184,0.001572,7.087949
7.857051,0.096923,5.977820,-5167.000000,-5167.000000,-5134.000000,0.726483,-0.251130,0.001503,7.857051
6.860000,0.022436,6.274872,-5148.000000,-5155.000000,-5121.000000,0.726411,-0.251095,0.001472,6.860000
5.505769,-0.043077,7.453205,-5142.000000,-5159.000000,-5161.000000,0.726195,-0.251048,0.001400,5.505769
6.622180,0.176795,7.765512,-5142.000000,-5146.000000,-5127.000000,0.726119,-0.250988,0.001333,6.622180
6.317949,-0.320385,8.478077,-5159.000000,-5161.000000,-5144.000000,0.726078,-0.250971,0.001338,6.317949
6.226410,0.201026,7.682949,-5153.000000,-5142.000000,-5142.000000,0.726147,-0.250890,0.001234,6.226410
6.887820,0.259359,6.720000,-5150.000000,-5136.000000,-5165.000000,0.726067,-0.250863,0.001210,6.887820
6.394231,-0.008974,6.976666,-5148.000000,-5173.000000,-5161.000000,0.725962,-0.250803,0.001132,6.394231
5.861154,-0.131923,8.006923,-5150.000000,-5167.000000,-5146.000000,0.725721,-0.250764,0.001111,5.861154
6.174359,-0.058333,7.506154,-5159.000000,-5140.000000,-5150.000000,0.725723,-0.250708,0.001071,6.174359
7.084359,0.174103,6.487564,-5138.000000,-5136.000000,-5169.000000,0.725739,-0.250627,0.000962,7.084359
7.044872,0.155256,6.056795,-5146.000000,-5159.000000,-5148.000000,0.725737,-0.250541,0.000839,7.044872
6.000256,0.026026,7.160641,-5155.000000,-5155.000000,-5127.000000,0.725556,-0.250505,0.000809,6.000256
5.526410,-0.091538,7.911795,-5159.000000,-5153.000000,-5138.000000,0.725401,-0.250458,0.000764,5.526410
6.628461,0.104103,8.027564,-5144.000000,-5134.000000,-5161.000000,0.725433,-0.250422,0.000734,6.628461
5.929359,-0.166923,8.738333,-5140.000000,-5127.000000,-5178.000000,0.725480,-0.250389,0.000705,5.929359
6.448077,0.324872,7.551025,-5163.000000,-5144.000000,-5144.000000,0.725582,-0.250307,0.000611,6.448077
6.575513,-0.026923,7.855256,-5153.000000,-5165.000000,-5136.000000,0.725441,-0.250289,0.000586,6.575513
6.282051,-0.384103,7.780769,-5136.000000,-5134.000000,-5161.000000,0.725537,-0.250275,0.000584,6.282051
7.337436,0.317692,6.642820,-5140.000000,-5136.000000,-5165.000000,0.725674,-0.250264,0.000582,7.337436
5.992179,-0.052949,7.660512,-5155.000000,-5155.000000,-5148.000000,0.725606,-0.250238,0.000557,5.992179
6.258718,0.041282,8.327308,-5159.000000,-5159.000000,-5146.000000,0.725655,-0.250173,0.000472,6.258718
6.362820,-0.166923,7.552820,-5142.000000,-5159.000000,-5165.000000,0.725757,-0.250172,0.000488,6.362820
7.000000,-0.053846,6.567436,-5144.000000,-5138.000000,-5159.000000,0.725912,-0.250197,0.000549,7.000000
6.578205,0.257564,6.461538,-5161.000000,-5144.000000,-5138.000000,0.725975,-0.250176,0.000528,6.578205
7.353590,0.272821,6.764872,-5157.000000,-5167.000000,-5153.000000,0.726097,-0.250118,0.000437,7.353590
6.412179,-0.397564,7.826538,-5142.000000,-5157.000000,-5155.000000,0.726039,-0.250156,0.000505,6.412179
6.796282,-0.252179,7.698205,-5173.000000,-5171.000000,-5138.000000,0.726087,-0.250155,0.000504,6.796282
6.822308,-0.262051,7.980000,-5169.000000,-5169.000000,-5140.000000,0.726151,-0.250186,0.000536,6.822308
6.328718,-0.035897,7.466667,-5163.000000,-5150.000000,-5163.000000,0.726117,-0.250187,0.000513,6.328718
6.222820,-0.358077,7.901923,-5165.000000,-5188.000000,-5153.000000,0.725980,-0.250218,0.000533,6.222820
6.413974,-0.297949,7.398461,-5161.000000,-5169.000000,-5144.000000,0.725958,-0.250244,0.000546,6.413974
6.673333,-0.087051,6.530641,-5161.000000,-5132.000000,-5155.000000,0.725969,-0.250288,0.000598,6.673333
5.748974,-0.194744,7.465769,-5144.000000,-5138.000000,-5176.000000,0.725851,-0.250292,0.000609,5.748974
6.973974,0.116667,7.455897,-5148.000000,-5155.000000,-5146.000000,0.725894,-0.250243,0.000550,6.973974
5.943718,-0.166026,7.048461,-5132.000000,-5132.000000,-5167.000000,0.725765,-0.250236,0.000566,5.943718
6.416667,-0.079872,8.054487,-5125.000000,-5127.000000,-5180.000000,0.725794,-0.250214,0.000524,6.416667
6.238974,-0.295256,8.092179,-5163.000000,-5134.000000,-5150.000000,0.725747,-0.250231,0.000549,6.238974
5.690641,-0.036795,7.872307,-5167.000000,-5138.000000,-5127.000000,0.725649,-0.250241,0.000551,5.690641
6.716410,-0.213590,6.641026,-5148.000000,-5163.000000,-5165.000000,0.725646,-0.250282,0.000592,6.716410
7.175000,0.158846,6.380769,-5136.000000,-5136.000000,-5161.000000,0.725731,-0.250291,0.000575,7.175000
6.349359,-0.107692,7.114872,-5150.000000,-5142.000000,-5153.000000,0.725662,-0.250324,0.000596,6.349359
5.486923,-0.158846,8.035641,-5155.000000,-5161.000000,-5144.000000,0.725547,-0.250287,0.000547,5.486923
